GEOID,B13016_001E,B13016_002E,B13016_003E,B13016_004E,B13016_005E,B13016_006E,B13016_007E,B13016_008E,B13016_009E,B13016_010E,B13016_011E,B13016_012E,B13016_013E,B13016_014E,B13016_015E,B13016_016E,B13016_017E
37021002206,790.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,776.0,115.0,12.0,102.0,233.0,111.0,59.0,144.0
37021002303,1969.0,30.0,0.0,0.0,0.0,12.0,18.0,0.0,0.0,1939.0,344.0,310.0,125.0,339.0,76.0,334.0,411.0
37021002304,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,37.0,0.0,0.0,33.0,76.0,17.0,59.0
37021002305,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,136.0,70.0,151.0,256.0,220.0,300.0,383.0
37021002306,1072.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1045.0,53.0,160.0,351.0,55.0,0.0,256.0,170.0
37021002401,787.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,760.0,121.0,114.0,93.0,78.0,162.0,84.0,108.0
37021002402,912.0,59.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,853.0,52.0,195.0,111.0,86.0,101.0,203.0,105.0
37021002503,1093.0,15.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,1078.0,112.0,239.0,169.0,87.0,45.0,135.0,291.0
37021002504,1161.0,33.0,0.0,21.0,0.0,12.0,0.0,0.0,0.0,1128.0,209.0,105.0,145.0,108.0,204.0,261.0,96.0
37021002505,1715.0,93.0,0.0,0.0,59.0,0.0,0.0,17.0,17.0,1622.0,40.0,273.0,526.0,107.0,184.0,191.0,301.0
37021002506,824.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,815.0,113.0,34.0,178.0,209.0,63.0,69.0,149.0
